Date,HebrewDate,Status,Description
01/09/2026,"י""ט באלול תשפ""ו",,
02/09/2026,"כ' באלול תשפ""ו",,
03/09/2026,"כ""א באלול תשפ""ו",,
04/09/2026,"כ""ב באלול תשפ""ו",,
05/09/2026,"כ""ג באלול תשפ""ו",,
06/09/2026,"כ""ד באלול תשפ""ו",,
07/09/2026,"כ""ה באלול תשפ""ו",,
08/09/2026,"כ""ו באלול תשפ""ו",,
09/09/2026,"כ""ז באלול תשפ""ו",,
10/09/2026,"כ""ח באלול תשפ""ו",,
11/09/2026,"כ""ט באלול תשפ""ו",חופשה,ראש השנה
12/09/2026,"א' בתשרי תשפ""ז",חופשה,ראש השנה
13/09/2026,"ב' בתשרי תשפ""ז",חופשה,ראש השנה
14/09/2026,"ג' בתשרי תשפ""ז",,צום גדליה
15/09/2026,"ד' בתשרי תשפ""ז",,
16/09/2026,"ה' בתשרי תשפ""ז",,
17/09/2026,"ו' בתשרי תשפ""ז",,
18/09/2026,"ז' בתשרי תשפ""ז",,
19/09/2026,"ח' בתשרי תשפ""ז",,
20/09/2026,"ט' בתשרי תשפ""ז",חופשה,יום הכיפורים
21/09/2026,"י' בתשרי תשפ""ז",חופשה,יום הכיפורים
22/09/2026,"י""א בתשרי תשפ""ז",חופשה,"חופשה בין יוה""כ לסוכות"
23/09/2026,"י""ב בתשרי תשפ""ז",חופשה,"חופשה בין יוה""כ לסוכות"
24/09/2026,"י""ג בתשרי תשפ""ז",חופשה,"חופשה בין יוה""כ לסוכות"
25/09/2026,"י""ד בתשרי תשפ""ז",חופשה,חג הסוכות
26/09/2026,"ט""ו בתשרי תשפ""ז",חופשה,חג הסוכות
27/09/2026,"ט""ז בתשרי תשפ""ז",חופשה,חג הסוכות
28/09/2026,"י""ז בתשרי תשפ""ז",חופשה,חג הסוכות
29/09/2026,"י""ח בתשרי תשפ""ז",חופשה,חג הסוכות
30/09/2026,"י""ט בתשרי תשפ""ז",חופשה,חג הסוכות
01/10/2026,"כ' בתשרי תשפ""ז",חופשה,חג הסוכות
02/10/2026,"כ""א בתשרי תשפ""ז",חופשה,חג הסוכות
03/10/2026,"כ""ב בתשרי תשפ""ז",חופשה,חג הסוכות
04/10/2026,"כ""ג בתשרי תשפ""ז",,
05/10/2026,"כ""ד בתשרי תשפ""ז",,יום הזיכרון הלאומי ל-7 באוקטובר
06/10/2026,"כ""ה בתשרי תשפ""ז",,
07/10/2026,"כ""ו בתשרי תשפ""ז",,
08/10/2026,"כ""ז בתשרי תשפ""ז",,
09/10/2026,"כ""ח בתשרי תשפ""ז",,
10/10/2026,"כ""ט בתשרי תשפ""ז",,
11/10/2026,"ל' בתשרי תשפ""ז",,
12/10/2026,"א' בחשוון תשפ""ז",,
13/10/2026,"ב' בחשוון תשפ""ז",,
14/10/2026,"ג' בחשוון תשפ""ז",,
15/10/2026,"ד' בחשוון תשפ""ז",,
16/10/2026,"ה' בחשוון תשפ""ז",,
17/10/2026,"ו' בחשוון תשפ""ז",,
18/10/2026,"ז' בחשוון תשפ""ז",,
19/10/2026,"ח' בחשוון תשפ""ז",,
20/10/2026,"ט' בחשוון תשפ""ז",,
21/10/2026,"י' בחשוון תשפ""ז",,
22/10/2026,"י""א בחשוון תשפ""ז",,יום פטירת רחל אמנו
23/10/2026,"י""ב בחשוון תשפ""ז",,
24/10/2026,"י""ג בחשוון תשפ""ז",,
25/10/2026,"י""ד בחשוון תשפ""ז",,
26/10/2026,"ט""ו בחשוון תשפ""ז",,
27/10/2026,"ט""ז בחשוון תשפ""ז",,
28/10/2026,"י""ז בחשוון תשפ""ז",,
29/10/2026,"י""ח בחשוון תשפ""ז",,
30/10/2026,"י""ט בחשוון תשפ""ז",,
31/10/2026,"כ' בחשוון תשפ""ז",,
01/11/2026,"כ""א בחשוון תשפ""ז",,
02/11/2026,"כ""ב בחשוון תשפ""ז",,
03/11/2026,"כ""ג בחשוון תשפ""ז",,
04/11/2026,"כ""ד בחשוון תשפ""ז",,
05/11/2026,"כ""ה בחשוון תשפ""ז",,
06/11/2026,"כ""ו בחשוון תשפ""ז",,
07/11/2026,"כ""ז בחשוון תשפ""ז",,
08/11/2026,"כ""ח בחשוון תשפ""ז",,
09/11/2026,"כ""ט בחשוון תשפ""ז",,חג הסיגד
10/11/2026,"ל' בחשוון תשפ""ז",,
11/11/2026,"א' בכסלו תשפ""ז",,
12/11/2026,"ב' בכסלו תשפ""ז",,
13/11/2026,"ג' בכסלו תשפ""ז",,
14/11/2026,"ד' בכסלו תשפ""ז",,
15/11/2026,"ה' בכסלו תשפ""ז",,
16/11/2026,"ו' בכסלו תשפ""ז",,
17/11/2026,"ז' בכסלו תשפ""ז",,
18/11/2026,"ח' בכסלו תשפ""ז",,
19/11/2026,"ט' בכסלו תשפ""ז",,
20/11/2026,"י' בכסלו תשפ""ז",,
21/11/2026,"י""א בכסלו תשפ""ז",,
22/11/2026,"י""ב בכסלו תשפ""ז",,
23/11/2026,"י""ג בכסלו תשפ""ז",,
24/11/2026,"י""ד בכסלו תשפ""ז",,
25/11/2026,"ט""ו בכסלו תשפ""ז",,
26/11/2026,"ט""ז בכסלו תשפ""ז",,
27/11/2026,"י""ז בכסלו תשפ""ז",,
28/11/2026,"י""ח בכסלו תשפ""ז",,
29/11/2026,"י""ט בכסלו תשפ""ז",,
30/11/2026,"כ' בכסלו תשפ""ז",,
01/12/2026,"כ""א בכסלו תשפ""ז",,
02/12/2026,"כ""ב בכסלו תשפ""ז",,
03/12/2026,"כ""ג בכסלו תשפ""ז",,
04/12/2026,"כ""ד בכסלו תשפ""ז",,
05/12/2026,"כ""ה בכסלו תשפ""ז",,
06/12/2026,"כ""ו בכסלו תשפ""ז",חופשה,חנוכה
07/12/2026,"כ""ז בכסלו תשפ""ז",חופשה,חנוכה
08/12/2026,"כ""ח בכסלו תשפ""ז",חופשה,חנוכה
09/12/2026,"כ""ט בכסלו תשפ""ז",חופשה,חנוכה
10/12/2026,"ל' בכסלו תשפ""ז",חופשה,חנוכה
11/12/2026,"א' בטבת תשפ""ז",חופשה,חנוכה
12/12/2026,"ב' בטבת תשפ""ז",חופשה,חנוכה
13/12/2026,"ג' בטבת תשפ""ז",,
14/12/2026,"ד' בטבת תשפ""ז",,
15/12/2026,"ה' בטבת תשפ""ז",,
16/12/2026,"ו' בטבת תשפ""ז",,
17/12/2026,"ז' בטבת תשפ""ז",,
18/12/2026,"ח' בטבת תשפ""ז",,
19/12/2026,"ט' בטבת תשפ""ז",,
20/12/2026,"י' בטבת תשפ""ז",,עשרה בטבת
21/12/2026,"י""א בטבת תשפ""ז",,
22/12/2026,"י""ב בטבת תשפ""ז",,
23/12/2026,"י""ג בטבת תשפ""ז",,
24/12/2026,"י""ד בטבת תשפ""ז",,
25/12/2026,"ט""ו בטבת תשפ""ז",,
26/12/2026,"ט""ז בטבת תשפ""ז",,
27/12/2026,"י""ז בטבת תשפ""ז",,
28/12/2026,"י""ח בטבת תשפ""ז",,
29/12/2026,"י""ט בטבת תשפ""ז",,
30/12/2026,"כ' בטבת תשפ""ז",,
31/12/2026,"כ""א בטבת תשפ""ז",,
01/01/2027,"כ""ב בטבת תשפ""ז",,
02/01/2027,"כ""ג בטבת תשפ""ז",,
03/01/2027,"כ""ד בטבת תשפ""ז",,
04/01/2027,"כ""ה בטבת תשפ""ז",,
05/01/2027,"כ""ו בטבת תשפ""ז",,
06/01/2027,"כ""ז בטבת תשפ""ז",,
07/01/2027,"כ""ח בטבת תשפ""ז",,
08/01/2027,"כ""ט בטבת תשפ""ז",,
09/01/2027,"א' בשבט תשפ""ז",,
10/01/2027,"ב' בשבט תשפ""ז",,
11/01/2027,"ג' בשבט תשפ""ז",,
12/01/2027,"ד' בשבט תשפ""ז",,
13/01/2027,"ה' בשבט תשפ""ז",,
14/01/2027,"ו' בשבט תשפ""ז",,
15/01/2027,"ז' בשבט תשפ""ז",,
16/01/2027,"ח' בשבט תשפ""ז",,
17/01/2027,"ט' בשבט תשפ""ז",,
18/01/2027,"י' בשבט תשפ""ז",,
19/01/2027,"י""א בשבט תשפ""ז",,
20/01/2027,"י""ב בשבט תשפ""ז",,
21/01/2027,"י""ג בשבט תשפ""ז",,
22/01/2027,"י""ד בשבט תשפ""ז",,
23/01/2027,"ט""ו בשבט תשפ""ז",,"ט""ו בשבט"
24/01/2027,"ט""ז בשבט תשפ""ז",,
25/01/2027,"י""ז בשבט תשפ""ז",,
26/01/2027,"י""ח בשבט תשפ""ז",,
27/01/2027,"י""ט בשבט תשפ""ז",,
28/01/2027,"כ' בשבט תשפ""ז",,
29/01/2027,"כ""א בשבט תשפ""ז",,
30/01/2027,"כ""ב בשבט תשפ""ז",,
31/01/2027,"כ""ג בשבט תשפ""ז",,
01/02/2027,"כ""ד בשבט תשפ""ז",,
02/02/2027,"כ""ה בשבט תשפ""ז",,
03/02/2027,"כ""ו בשבט תשפ""ז",,
04/02/2027,"כ""ז בשבט תשפ""ז",,
05/02/2027,"כ""ח בשבט תשפ""ז",,
06/02/2027,"כ""ט בשבט תשפ""ז",,
07/02/2027,"ל' בשבט תשפ""ז",,
08/02/2027,"א' באדר א' תשפ""ז",,
09/02/2027,"ב' באדר א' תשפ""ז",,
10/02/2027,"ג' באדר א' תשפ""ז",,
11/02/2027,"ד' באדר א' תשפ""ז",,
12/02/2027,"ה' באדר א' תשפ""ז",,
13/02/2027,"ו' באדר א' תשפ""ז",,
14/02/2027,"ז' באדר א' תשפ""ז",,
15/02/2027,"ח' באדר א' תשפ""ז",,
16/02/2027,"ט' באדר א' תשפ""ז",,
17/02/2027,"י' באדר א' תשפ""ז",,
18/02/2027,"י""א באדר א' תשפ""ז",,
19/02/2027,"י""ב באדר א' תשפ""ז",,
20/02/2027,"י""ג באדר א' תשפ""ז",,
21/02/2027,"י""ד באדר א' תשפ""ז",,
22/02/2027,"ט""ו באדר א' תשפ""ז",,
23/02/2027,"ט""ז באדר א' תשפ""ז",,
24/02/2027,"י""ז באדר א' תשפ""ז",,
25/02/2027,"י""ח באדר א' תשפ""ז",,
26/02/2027,"י""ט באדר א' תשפ""ז",,
27/02/2027,"כ' באדר א' תשפ""ז",,
28/02/2027,"כ""א באדר א' תשפ""ז",,
01/03/2027,"כ""ב באדר א' תשפ""ז",,
02/03/2027,"כ""ג באדר א' תשפ""ז",,
03/03/2027,"כ""ד באדר א' תשפ""ז",,
04/03/2027,"כ""ה באדר א' תשפ""ז",,
05/03/2027,"כ""ו באדר א' תשפ""ז",,
06/03/2027,"כ""ז באדר א' תשפ""ז",,
07/03/2027,"כ""ח באדר א' תשפ""ז",,
08/03/2027,"כ""ט באדר א' תשפ""ז",,
09/03/2027,"ל' באדר א' תשפ""ז",,
10/03/2027,"א' באדר ב' תשפ""ז",,
11/03/2027,"ב' באדר ב' תשפ""ז",,
12/03/2027,"ג' באדר ב' תשפ""ז",,
13/03/2027,"ד' באדר ב' תשפ""ז",,
14/03/2027,"ה' באדר ב' תשפ""ז",,
15/03/2027,"ו' באדר ב' תשפ""ז",,
16/03/2027,"ז' באדר ב' תשפ""ז",,
17/03/2027,"ח' באדר ב' תשפ""ז",,
18/03/2027,"ט' באדר ב' תשפ""ז",,
19/03/2027,"י' באדר ב' תשפ""ז",,
20/03/2027,"י""א באדר ב' תשפ""ז",,
21/03/2027,"י""ב באדר ב' תשפ""ז",,
22/03/2027,"י""ג באדר ב' תשפ""ז",,תענית אסתר
23/03/2027,"י""ד באדר ב' תשפ""ז",חופשה,פורים
24/03/2027,"ט""ו באדר ב' תשפ""ז",חופשה,פורים
25/03/2027,"ט""ז באדר ב' תשפ""ז",,
26/03/2027,"י""ז באדר ב' תשפ""ז",,
27/03/2027,"י""ח באדר ב' תשפ""ז",,
28/03/2027,"י""ט באדר ב' תשפ""ז",,
29/03/2027,"כ' באדר ב' תשפ""ז",,
30/03/2027,"כ""א באדר ב' תשפ""ז",,
31/03/2027,"כ""ב באדר ב' תשפ""ז",,
01/04/2027,"כ""ג באדר ב' תשפ""ז",,
02/04/2027,"כ""ד באדר ב' תשפ""ז",,
03/04/2027,"כ""ה באדר ב' תשפ""ז",,
04/04/2027,"כ""ו באדר ב' תשפ""ז",,
05/04/2027,"כ""ז באדר ב' תשפ""ז",,
06/04/2027,"כ""ח באדר ב' תשפ""ז",,
07/04/2027,"כ""ט באדר ב' תשפ""ז",,
08/04/2027,"א' בניסן תשפ""ז",,
09/04/2027,"ב' בניסן תשפ""ז",,
10/04/2027,"ג' בניסן תשפ""ז",,
11/04/2027,"ד' בניסן תשפ""ז",,
12/04/2027,"ה' בניסן תשפ""ז",,
13/04/2027,"ו' בניסן תשפ""ז",חופשה,פסח
14/04/2027,"ז' בניסן תשפ""ז",חופשה,פסח
15/04/2027,"ח' בניסן תשפ""ז",חופשה,פסח
16/04/2027,"ט' בניסן תשפ""ז",חופשה,פסח
17/04/2027,"י' בניסן תשפ""ז",חופשה,פסח
18/04/2027,"י""א בניסן תשפ""ז",חופשה,פסח
19/04/2027,"י""ב בניסן תשפ""ז",חופשה,פסח
20/04/2027,"י""ג בניסן תשפ""ז",חופשה,פסח
21/04/2027,"י""ד בניסן תשפ""ז",חופשה,פסח
22/04/2027,"ט""ו בניסן תשפ""ז",חופשה,פסח
23/04/2027,"ט""ז בניסן תשפ""ז",חופשה,פסח
24/04/2027,"י""ז בניסן תשפ""ז",חופשה,פסח
25/04/2027,"י""ח בניסן תשפ""ז",חופשה,פסח
26/04/2027,"י""ט בניסן תשפ""ז",חופשה,פסח
27/04/2027,"כ' בניסן תשפ""ז",חופשה,פסח
28/04/2027,"כ""א בניסן תשפ""ז",חופשה,פסח
29/04/2027,"כ""ב בניסן תשפ""ז",,
30/04/2027,"כ""ג בניסן תשפ""ז",,
01/05/2027,"כ""ד בניסן תשפ""ז",,
02/05/2027,"כ""ה בניסן תשפ""ז",,
03/05/2027,"כ""ו בניסן תשפ""ז",,
04/05/2027,"כ""ז בניסן תשפ""ז",,יום הזיכרון לשואה ולגבורה
05/05/2027,"כ""ח בניסן תשפ""ז",,
06/05/2027,"כ""ט בניסן תשפ""ז",,
07/05/2027,"ל' בניסן תשפ""ז",,
08/05/2027,"א' באייר תשפ""ז",,
09/05/2027,"ב' באייר תשפ""ז",,
10/05/2027,"ג' באייר תשפ""ז",,
11/05/2027,"ד' באייר תשפ""ז",,"יום הזיכרון לחללי צה""ל"
12/05/2027,"ה' באייר תשפ""ז",חופשה,יום העצמאות
13/05/2027,"ו' באייר תשפ""ז",,
14/05/2027,"ז' באייר תשפ""ז",,
15/05/2027,"ח' באייר תשפ""ז",,
16/05/2027,"ט' באייר תשפ""ז",,
17/05/2027,"י' באייר תשפ""ז",,
18/05/2027,"י""א באייר תשפ""ז",,
19/05/2027,"י""ב באייר תשפ""ז",,
20/05/2027,"י""ג באייר תשפ""ז",,
21/05/2027,"י""ד באייר תשפ""ז",,
22/05/2027,"ט""ו באייר תשפ""ז",,
23/05/2027,"ט""ז באייר תשפ""ז",,
24/05/2027,"י""ז באייר תשפ""ז",,
25/05/2027,"י""ח באייר תשפ""ז",,"ל""ג בעומר"
26/05/2027,"י""ט באייר תשפ""ז",,
27/05/2027,"כ' באייר תשפ""ז",,
28/05/2027,"כ""א באייר תשפ""ז",,
29/05/2027,"כ""ב באייר תשפ""ז",,
30/05/2027,"כ""ג באייר תשפ""ז",,
31/05/2027,"כ""ד באייר תשפ""ז",,
01/06/2027,"כ""ה באייר תשפ""ז",,
02/06/2027,"כ""ו באייר תשפ""ז",,
03/06/2027,"כ""ז באייר תשפ""ז",,
04/06/2027,"כ""ח באייר תשפ""ז",,
05/06/2027,"כ""ט באייר תשפ""ז",,
06/06/2027,"א' בסיון תשפ""ז",,
07/06/2027,"ב' בסיון תשפ""ז",,
08/06/2027,"ג' בסיון תשפ""ז",,
09/06/2027,"ד' בסיון תשפ""ז",,
10/06/2027,"ה' בסיון תשפ""ז",חופשה,חג השבועות
11/06/2027,"ו' בסיון תשפ""ז",חופשה,חג השבועות
12/06/2027,"ז' בסיון תשפ""ז",,
13/06/2027,"ח' בסיון תשפ""ז",,
14/06/2027,"ט' בסיון תשפ""ז",,
15/06/2027,"י' בסיון תשפ""ז",,
16/06/2027,"י""א בסיון תשפ""ז",,
17/06/2027,"י""ב בסיון תשפ""ז",,
18/06/2027,"י""ג בסיון תשפ""ז",,
19/06/2027,"י""ד בסיון תשפ""ז",,
20/06/2027,"ט""ו בסיון תשפ""ז",,
21/06/2027,"ט""ז בסיון תשפ""ז",,
22/06/2027,"י""ז בסיון תשפ""ז",,
23/06/2027,"י""ח בסיון תשפ""ז",,
24/06/2027,"י""ט בסיון תשפ""ז",,
25/06/2027,"כ' בסיון תשפ""ז",,
26/06/2027,"כ""א בסיון תשפ""ז",,
27/06/2027,"כ""ב בסיון תשפ""ז",,
28/06/2027,"כ""ג בסיון תשפ""ז",,
29/06/2027,"כ""ד בסיון תשפ""ז",,
30/06/2027,"כ""ה בסיון תשפ""ז",,סיום שנת הלימודים